"pid","Date","NewRank","VS","Result","Tournament_Name"
"JoJoDaHoBo",17626,2242.12064974838,"Kila","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Pokepen",17626,2422.95347645749,"Gyromight","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Gyromight",17626,2233.3682800417,"Pokepen","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Mika",17626,2392.3852944309,"Kavi","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Kavi",17626,2209.90166219052,"Mika","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Egg",17626,2400.50136813446,"8Man","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"8Man",17626,2237.5320375326,"Egg","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Kila",17626,2465.14440965537,"MD4","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"MD4",17626,2274.7919375807,"Kila","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Pokepen",17626,2484.06708696123,"Dylan","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Dylan",17626,2279.82900626122,"Pokepen","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Mika",17626,2458.37037227832,"Pokalink","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Pokalink",17626,2277.58952069193,"Mika","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Slow Dancer",17626,2454.57324088514,"Egg","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Egg",17626,2320.92264790645,"Slow Dancer","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Pokepen",17626,2546.72498899702,"Kila","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Kila",17626,2402.77375064041,"Pokepen","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Slow Dancer",17626,2531.27262462419,"Mika","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Mika",17626,2394.17998852284,"Slow Dancer","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Pokepen",17626,2591.82775289061,"Katsuki","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Katsuki",17626,2398.98844548086,"Pokepen","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
