"Tournament","date","player1_id","player2_id","player1_score","player2_score","url"
"Ultimate Singles",2019-03-23,"PkMn Trainer LUKE","CJ",0,2,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," Tezii","<//INDO//>",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"bread","Faren",1,2,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,")","BruisedSoup",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Egg","caf",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," KenmoreKub","Enigma",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," Gengur"," where's issac",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," Sealing"," FitBit",2,1,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"CJ"," Tezii",0,2,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Faren",")",0,2,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Egg"," KenmoreKub",1,2,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," Gengur"," Sealing",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Cacogen"," Tezii",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," Ludwig",")",1,2,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"S3NPAI"," KenmoreKub",0,2,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Turrin"," Gengur",1,2,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Cacogen",")",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," KenmoreKub"," Gengur",0,2,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," King Kila","Cacogen",0,2,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Signas"," Gengur",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",NA,"Cacogen","Signas",NA,NA,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"MVP","arc",0,2,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"RadicalSquid","Shoop",0,-1,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Shurima","Clout",-1,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Barletto","Lionel Coin Bank",1,2,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Pinkowl"," Doggy",0,-1,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Double R","Synth",0,-1,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
